ID,name,name2,typ,role,role2,Verwandtschaft,place,state,polit,beruf,spezifik,sex,institution,institution2,family,,,,,,,,,
A1159,Franz Apotheker von Kersbach,gen. Beck,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A116,Friedrich Stuchs,,Person,,Orgelmeister,,,,,Handwerker,,male,,,,,,,,,,,,
A1160,Franz Pirkheimer,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1161,Frau Jobst Tetzels,,Person,,,Frau Jobst Tetzels,Nürnberg,Nürnberger Bürger,,,,female,,,,,,,,,,,,
A1162,Frau von Hans Volk,,Person,,,Frau von Hans Volk,Nürnberg,Nürnberger Bürger,,,,female,,,,,,,,,,,,
A1163,Fritz Fugel,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1164,Fritz Fügel,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1165,Fritz Kammermeister,,Person,Bürger zu N.,,,Nürnberg ,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1166,Fritz Kleinbrügel,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1167,Fritz Leitner,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1168,Fritz List,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1169,Fritz Rumel,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A117,Pfalzgraf Friedrich bei Rhein,bzw. seine Vormünder,Person,Gf. zu Sponheim ,Pfalzgraf bei Rhein,,,Fürst,,,,male,Pfalzgraf,Graf von Sponheim,,,,,,,,,,
A1170,Fritz Rumelin,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1171,Fritz Schickentanz,,Person,Schuster zu Nürnberg ,,,Nürnberg,Nürnberger Bürger,,Handwerker,,male,,,,,,,,,,,,
A1172,Fritz Senftenberger,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1173,Gießübel,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1174,"Groland, Familie",,Person,,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1175,Gutta Meierin,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,female,,,,,,,,,,,,
A1177,Hans Adam,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1178,"Hans Adelmann,",,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1179,Hans Arnold,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A118,Pfalzgraf Ludwig bei Rhein,Ludwig,Person,,Pfalzgraf bei Rhein,,,Fürst,,,,male,Pfalzgraf,,,,,,,,,,,
A1180,Hans Arzt,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1181,Hans Deichsler,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1182,Hans Dietel gen. Pallenpinder,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1183,Hans Dietz,,Person,Bürger zu Nürnberg,,Schwager des Jörg Dietzinger,,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1186,Hans Eman,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1187,Hans Frank,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1188,Hans Gartner d. J.,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
